               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075842,            0.028509,            0.050318,            0.037617,             0.24868,            0.047335,            0.024532,            0.038792,           0.0079215,            0.047975,             0.00139,             0.00139,             0.08749
                   1,              0.0486,            0.020919,            0.048155,            0.042546,             0.52771,            0.060906,            0.039377,            0.030073,           0.0049761,            0.046101,           0.0027899,           0.0027899,             0.07489
                   2,            0.040143,             0.01737,            0.046912,            0.054134,             0.52975,             0.10319,             0.06665,            0.026503,           0.0041553,            0.044238,           0.0041896,           0.0041896,             0.06229
                   3,            0.039938,            0.016411,            0.044897,             0.10706,              0.3479,             0.16608,             0.11585,            0.024023,           0.0039412,             0.04135,           0.0055888,           0.0055888,            0.049689
                   4,             0.04018,            0.015736,            0.042031,             0.25405,             0.41786,             0.28366,              0.2075,            0.021844,           0.0036231,            0.037386,           0.0069872,           0.0069872,            0.037087
                   5,            0.037557,            0.015364,             0.03741,             0.22896,             0.59821,             0.38711,             0.27789,            0.023078,            0.003422,            0.033001,           0.0083848,           0.0083848,            0.024485
                   6,            0.037207,            0.015209,            0.032484,             0.42245,             0.66062,              0.5677,             0.41234,            0.021845,           0.0037032,            0.026664,           0.0097813,           0.0097813,            0.011881
                   7,            0.034975,            0.015235,            0.026666,             0.57561,             0.71363,             0.66856,             0.49244,            0.023129,           0.0037108,            0.023599,           0.0099879,           0.0099879,           0.0099879
                   8,            0.033743,            0.015308,            0.022547,             0.66992,             0.78322,             0.78017,             0.58128,            0.021195,           0.0039106,            0.019529,           0.0099879,           0.0099879,           0.0099879
                   9,            0.032274,            0.014749,            0.019363,             0.67676,             0.79463,             0.79912,             0.61696,            0.020284,           0.0035566,            0.018824,           0.0099842,           0.0099842,           0.0099842
                  10,            0.031656,            0.014543,            0.017295,             0.77895,             0.85719,             0.85182,             0.66297,            0.020505,           0.0035315,            0.014207,             0.00998,             0.00998,             0.00998
                  11,            0.031258,            0.014271,            0.015792,             0.80908,             0.87961,             0.86902,             0.69212,            0.020047,           0.0033591,             0.01274,           0.0099753,           0.0099753,           0.0099753
                  12,            0.030002,            0.013994,            0.014582,              0.8183,             0.88979,             0.87733,             0.68389,            0.018697,           0.0033435,             0.01221,           0.0099702,           0.0099702,           0.0099702
                  13,            0.029986,            0.013954,            0.013719,             0.83585,             0.86153,             0.87192,             0.68675,            0.018758,           0.0033306,            0.011605,           0.0099645,           0.0099645,           0.0099645
                  14,            0.028688,            0.013752,             0.01305,              0.8047,             0.89574,             0.88624,             0.70956,            0.018547,           0.0032249,            0.010638,           0.0099584,           0.0099584,           0.0099584
                  15,            0.028934,            0.013851,            0.012766,             0.83396,             0.88192,             0.88711,             0.72393,            0.017814,           0.0031931,            0.010942,           0.0099517,           0.0099517,           0.0099517
                  16,            0.028756,            0.013681,            0.012434,              0.7944,             0.90714,             0.88788,             0.72378,            0.017851,           0.0032396,            0.010203,           0.0099446,           0.0099446,           0.0099446
                  17,            0.028587,            0.013647,             0.01198,             0.86274,             0.87955,             0.90048,              0.7312,            0.018591,           0.0032193,            0.009766,            0.009937,            0.009937,            0.009937
                  18,            0.027901,            0.013339,            0.011833,              0.8519,             0.91556,             0.92043,             0.75193,            0.018335,           0.0030647,           0.0088146,           0.0099289,           0.0099289,           0.0099289
                  19,            0.028532,             0.01319,            0.011445,             0.88714,             0.91733,             0.92469,             0.76175,            0.017651,           0.0031175,           0.0082622,           0.0099203,           0.0099203,           0.0099203
                  20,            0.027756,            0.013394,            0.010777,             0.88344,             0.91033,             0.93075,             0.76379,            0.016303,           0.0029976,           0.0081316,           0.0099112,           0.0099112,           0.0099112
                  21,            0.027941,            0.013378,            0.010293,               0.865,             0.91404,             0.92461,             0.75119,            0.017143,           0.0030365,            0.007878,           0.0099017,           0.0099017,           0.0099017
                  22,            0.027134,            0.012995,            0.010061,             0.87993,             0.91525,             0.92493,             0.76219,            0.017297,           0.0031273,           0.0072067,           0.0098916,           0.0098916,           0.0098916
                  23,            0.026766,             0.01291,           0.0095764,             0.86062,             0.91866,             0.92092,              0.7608,            0.016018,           0.0029415,           0.0089294,           0.0098811,           0.0098811,           0.0098811
                  24,            0.026769,            0.012842,           0.0096936,             0.87828,             0.90732,             0.93079,             0.75936,            0.018469,           0.0028975,           0.0090309,           0.0098701,           0.0098701,           0.0098701
                  25,            0.026448,            0.012758,           0.0092292,             0.87668,             0.92948,             0.94858,              0.7838,            0.017109,           0.0029788,           0.0070958,           0.0098586,           0.0098586,           0.0098586
                  26,            0.026055,            0.012711,           0.0091448,             0.87485,             0.90633,             0.92563,             0.77499,            0.015217,           0.0028911,           0.0075326,           0.0098467,           0.0098467,           0.0098467
                  27,            0.026433,            0.012481,            0.009016,             0.84443,             0.91359,             0.93047,             0.76114,            0.017086,           0.0030001,           0.0080769,           0.0098342,           0.0098342,           0.0098342
                  28,            0.025858,            0.012791,           0.0082737,             0.90058,             0.89416,             0.94418,             0.77886,            0.017004,           0.0030329,           0.0071974,           0.0098213,           0.0098213,           0.0098213
                  29,            0.026239,            0.012719,           0.0085186,             0.89803,              0.9046,             0.95165,             0.79213,            0.016841,             0.00301,           0.0072438,           0.0098079,           0.0098079,           0.0098079
                  30,            0.026069,            0.012445,           0.0083815,             0.93075,             0.91878,              0.9531,             0.79265,            0.016838,            0.002924,           0.0068773,           0.0097941,           0.0097941,           0.0097941
                  31,            0.025732,            0.012501,           0.0080417,             0.91444,             0.93747,             0.96581,             0.81238,            0.016246,            0.002856,           0.0061604,           0.0097798,           0.0097798,           0.0097798
                  32,            0.025792,            0.012356,           0.0079369,             0.93054,             0.91308,             0.96195,             0.79615,            0.016236,           0.0031206,           0.0064445,            0.009765,            0.009765,            0.009765
                  33,            0.025273,            0.012088,           0.0076472,             0.92662,             0.92248,             0.96224,             0.80724,            0.015852,            0.002865,           0.0059611,           0.0097497,           0.0097497,           0.0097497
                  34,            0.024989,              0.0122,           0.0073589,             0.95745,             0.93996,             0.97427,             0.82755,            0.015157,           0.0028424,           0.0050088,            0.009734,            0.009734,            0.009734
                  35,             0.02489,            0.012334,           0.0071534,             0.94658,             0.93697,              0.9678,             0.81258,            0.014987,           0.0027875,           0.0049554,           0.0097178,           0.0097178,           0.0097178
                  36,            0.025299,             0.01246,           0.0072092,              0.9324,             0.92422,              0.9656,             0.81293,            0.015925,           0.0028457,           0.0058528,           0.0097011,           0.0097011,           0.0097011
                  37,            0.024652,            0.012017,           0.0071189,             0.92823,              0.9405,             0.96617,             0.81455,            0.015823,           0.0028496,           0.0057588,            0.009684,            0.009684,            0.009684
                  38,            0.025239,            0.012106,           0.0072319,             0.94287,             0.93285,             0.97041,             0.81698,            0.015167,           0.0028681,            0.005702,           0.0096664,           0.0096664,           0.0096664
                  39,            0.024555,            0.012007,           0.0069666,             0.94881,             0.93195,             0.97251,             0.83083,            0.014722,           0.0027522,           0.0056534,           0.0096484,           0.0096484,           0.0096484
                  40,             0.02472,            0.012025,           0.0069786,             0.95239,             0.91764,             0.96704,             0.81958,            0.016064,            0.002782,           0.0066216,           0.0096299,           0.0096299,           0.0096299
                  41,            0.024048,            0.011543,           0.0065842,             0.95041,             0.93764,             0.97465,                0.82,            0.015834,           0.0028503,           0.0048871,            0.009611,            0.009611,            0.009611
                  42,            0.024223,            0.011737,           0.0067902,             0.94849,             0.93512,             0.97036,             0.82711,            0.015143,           0.0027463,           0.0053791,           0.0095916,           0.0095916,           0.0095916
                  43,            0.024362,             0.01206,           0.0066784,             0.95117,             0.94762,             0.97601,             0.82571,            0.015468,           0.0027923,           0.0043808,           0.0095717,           0.0095717,           0.0095717
                  44,             0.02426,            0.011952,           0.0065643,             0.94756,             0.92561,             0.97057,             0.82096,             0.01548,           0.0026954,             0.00549,           0.0095514,           0.0095514,           0.0095514
                  45,            0.024301,            0.011866,           0.0066186,             0.94922,             0.93699,             0.97439,             0.83767,            0.015445,           0.0026661,           0.0053643,           0.0095307,           0.0095307,           0.0095307
                  46,             0.02357,            0.011663,           0.0064089,             0.94095,             0.95608,             0.97987,             0.83683,            0.015229,           0.0027044,           0.0045614,           0.0095095,           0.0095095,           0.0095095
                  47,            0.023844,            0.011747,            0.006793,             0.95442,             0.94707,             0.97162,             0.83458,            0.014442,           0.0027612,           0.0044901,           0.0094879,           0.0094879,           0.0094879
                  48,            0.024012,             0.01177,           0.0063219,             0.94733,             0.96059,             0.97716,             0.83499,            0.014394,           0.0027419,           0.0044111,           0.0094659,           0.0094659,           0.0094659
                  49,            0.023795,            0.011586,           0.0062193,             0.93624,             0.94229,             0.97735,             0.83713,            0.015552,           0.0026831,           0.0045206,           0.0094434,           0.0094434,           0.0094434
                  50,            0.023731,            0.011573,            0.006379,             0.95649,             0.94765,             0.98037,              0.8395,            0.015569,           0.0027144,           0.0043283,           0.0094205,           0.0094205,           0.0094205
                  51,            0.023726,             0.01182,           0.0064199,             0.95206,              0.9436,             0.97811,             0.83867,            0.014689,           0.0026048,            0.004754,           0.0093971,           0.0093971,           0.0093971
                  52,            0.023568,            0.011671,           0.0060557,              0.9589,             0.95676,             0.98213,             0.84368,            0.014812,           0.0026501,           0.0041007,           0.0093733,           0.0093733,           0.0093733
                  53,            0.023337,            0.011462,           0.0061167,             0.95907,             0.95234,              0.9785,              0.8437,            0.015112,           0.0026864,           0.0047027,           0.0093491,           0.0093491,           0.0093491
                  54,            0.023374,             0.01157,           0.0062439,             0.94837,             0.95284,             0.97141,             0.83897,            0.014248,           0.0026339,           0.0043208,           0.0093245,           0.0093245,           0.0093245
                  55,            0.023166,            0.011578,           0.0063739,             0.93309,             0.93771,             0.97075,             0.83346,            0.014948,           0.0026542,           0.0051056,           0.0092995,           0.0092995,           0.0092995
                  56,            0.023399,            0.011607,           0.0060055,              0.9596,             0.93493,             0.97659,             0.83772,            0.014887,           0.0026239,           0.0044618,            0.009274,            0.009274,            0.009274
                  57,            0.023179,            0.011737,           0.0059074,             0.93564,             0.95411,             0.97458,             0.83656,            0.015306,           0.0026139,            0.004424,           0.0092481,           0.0092481,           0.0092481
                  58,            0.023195,            0.011363,           0.0059693,             0.95636,             0.93795,             0.97909,             0.83838,            0.014458,           0.0025931,           0.0045599,           0.0092219,           0.0092219,           0.0092219
                  59,            0.023092,            0.011364,            0.005758,             0.96088,             0.96156,             0.97983,             0.85331,            0.014268,           0.0024857,           0.0037964,           0.0091952,           0.0091952,           0.0091952
                  60,            0.023189,            0.011188,           0.0056772,             0.96509,             0.95398,             0.98073,             0.85227,            0.014038,           0.0025098,           0.0045931,           0.0091681,           0.0091681,           0.0091681
                  61,            0.022624,            0.011194,           0.0056465,             0.96483,             0.94339,             0.97736,             0.84807,            0.014014,           0.0026154,           0.0042497,           0.0091406,           0.0091406,           0.0091406
                  62,            0.022877,            0.011304,           0.0055828,             0.97234,             0.93337,             0.98105,              0.8489,            0.013961,           0.0025551,           0.0042483,           0.0091127,           0.0091127,           0.0091127
                  63,            0.023179,            0.011319,           0.0058121,             0.95677,             0.96105,             0.98022,              0.8521,            0.014303,           0.0025589,           0.0039622,           0.0090844,           0.0090844,           0.0090844
                  64,            0.022789,            0.011442,           0.0057021,             0.95087,             0.95762,             0.97907,             0.84141,            0.013623,           0.0026662,           0.0041705,           0.0090557,           0.0090557,           0.0090557
                  65,            0.022786,            0.011585,           0.0058392,             0.96203,             0.93782,             0.97747,             0.84736,            0.014006,           0.0025658,           0.0042511,           0.0090266,           0.0090266,           0.0090266
